p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
14,14,20,19,7,14,10,13,15,16
21,20,21,26,19,26,19,22,10,16
14,13,4,7,9,13,13,14,13,7
21,8,20,9,4,19,22,20,16,19
22,26,27,20,21,26,22,26,26,27
13,15,16,13,14,9,13,13,14,14
9,16,13,15,14,15,13,13,13,10
14,19,14,15,15,13,10,15,16,15
20,20,21,21,21,21,20,22,25,19
8,20,20,19,16,15,21,19,19,21
15,20,19,19,20,25,21,20,20,19
16,20,13,15,20,20,19,20,10,19
14,14,10,13,19,15,16,13,16,15
15,19,21,14,13,19,-1,20,15,15
19,19,16,13,13,20,7,20,19,19
20,19,10,19,15,19,19,19,19,20
21,19,21,21,20,19,21,19,15,19
19,20,15,15,14,14,19,16,19,13
20,15,19,14,8,19,15,15,19,15
19,19,19,15,21,19,19,19,19,19
16,20,16,21,19,20,20,16,20,7
16,20,19,19,19,19,19,15,20,19
20,13,20,10,19,19,19,20,20,19
25,25,19,15,21,25,25,22,19,25
14,8,13,8,13,13,14,14,13,13
19,14,19,16,19,19,19,19,10,19
25,22,21,21,25,25,9,21,15,22
20,32,31,10,31,31,31,25,31,31
21,20,10,19,13,19,20,20,21,19
21,21,25,20,15,25,25,10,10,22
20,19,15,10,16,15,19,19,16,21
9,7,7,9,13,8,8,8,13,9
19,14,19,20,19,16,21,20,16,19
14,10,7,9,14,9,8,9,9,10
13,13,15,3,9,13,10,7,8,13
3,9,13,4,7,7,13,8,9,9
15,14,14,16,19,16,14,15,19,13
15,13,13,19,19,14,19,15,16,8
-1,19,19,10,20,19,19,20,9,19
33,31,33,32,31,32,31,32,31,32
14,8,8,8,8,13,13,15,7,7
9,19,20,16,13,19,19,19,15,19
26,21,26,22,22,26,20,20,19,10
9,13,13,9,4,14,13,15,14,14
19,15,19,19,15,20,22,16,15,19
13,8,13,14,15,9,13,13,14,10
4,4,9,13,14,15,7,14,13,13
22,19,20,25,21,22,25,25,21,25
15,10,19,19,19,15,15,19,16,20
19,21,20,16,20,8,21,21,19,21
14,13,10,13,13,14,14,15,14,13
13,14,7,8,15,15,13,10,15,13
25,22,20,25,19,25,31,25,7,22
16,19,19,20,9,16,20,20,15,19
14,13,13,8,19,13,20,16,13,16
13,9,9,19,13,13,14,4,10,16
15,13,13,14,14,15,14,13,13,13
27,26,31,31,28,31,31,28,31,33
14,15,14,9,19,9,10,7,14,14
13,15,13,16,13,14,13,10,8,4
27,27,13,19,31,31,13,31,28,33
28,34,22,31,33,33,34,33,33,33
14,13,14,14,15,13,15,1,13,13
20,20,20,19,25,20,13,21,22,22
10,14,19,13,15,20,14,19,8,20
10,19,19,20,19,21,14,21,15,16
46,16,46,34,34,40,31,34,46,52
